128300,126500,1845.79,123500,125000,1547.75,3198,6.97,2008.01,2.1,2.02,2.64,44.53,1548,4.485,7705.36,3.6,86.69,948.5,411.5,2248.09,7932.76,1382,13228.3,3.6,1.1,1303,8.5,104.41,13.51,217.9,33.98,44.65,204.54,383.41,1254,1.3218,34066903,5.25,1190.18,125000,126500
126000,126500,1873.75,123000,125500,1535.62,4830,6.85,1990.45,1.7,1.92,2.57,44.36,2341,4.452,7779.4,3.4,86.25,941.5,413.7,2320.79,7850.41,1379,13554.67,4.1,-2.1,1759,8.1,104.41,13.625,220.55,37.51,44.81,204.07,385.92,1756,1.3,34066903,5.19,1179.84,126500,120500
124700,127000,1883.1,120500,126500,1529.45,9176,6.85,1992.39,2.1,1.69,2.57,43.32,2400,4.452,7750.17,3.5,86.96,941.5,405.55,2389.39,7850.41,1350,13455.88,5.1,-12.1,1251,11,104.41,13.625,220.55,37.51,44.39,205.01,395.69,2320,1.3,34066903,5.26,1192.44,120500,125000
123600,125500,1892.16,122000,122000,1539.4,7160,7.05,2016.89,9.7,1.76,2.57,42.75,1528,4.203,7645.51,1.8,87.83,967,385.74,2319.44,7552.6,1348,12945.4,4.1,-21.6,1322,13.1,104.41,14.01,205.87,34.93,41.03,206.79,402.87,1535,1.1864,34066903,5.51,1175.47,125000,121000
122800,125000,1815.15,120500,125000,1561.98,4551,6.96,2056.53,9.7,1.75,2.56,40.45,1548,4.214,7534.44,1,88.17,977.7,370.95,2209.86,7555.63,1315,13016,3.2,-16.6,1601,8.1,104.41,14.29,206.86,34.62,40.43,211.32,383.17,1235,1.1469,34066903,5.45,1127.19,121000,121000
121300,137000,1802.33,118000,120500,1564.67,6285,6.89,2086.35,5.7,1.79,2.55,40.1,1518,4.078,7557.65,0.7,87.68,976.1,370.2,2227.12,7465.95,1351,13023.36,2.9,-13.7,1557,7.2,104.41,13.935,196.09,39.48,40.95,214.35,390.07,1555,1.2045,34066903,5.34,1113.19,121000,119000
121200,123500,1785.96,118500,121000,1565.92,4171,6.93,2107.08,0,1.82,2.54,41.38,1449,4.006,7416.38,0.5,87.18,1001.8,368.61,2261.48,7365.67,1302,12699.17,2.6,-9.4,1044,6.7,104.41,14.49,197.28,40.03,41.89,215.64,384.67,1016,1.1967,34066903,5.27,1107.1,119000,120000
120400,121500,1734.93,118000,120500,1604.56,3268,6.86,2161.62,0.1,1.76,2.53,41.44,1650,4.097,7376.16,0.6,86.51,994.6,376.77,2305.78,7114.78,1302,13175.1,2.7,-4,721,5.3,104.41,14.45,189.11,38.44,40.99,219.46,367.14,717,1.1754,34066903,5.15,1065.95,120000,121000
120400,121000,1763.33,116500,118000,1583.54,3250,6.88,2169.47,7,1.55,2.51,40.13,1442,4.236,7268.56,1.5,87.34,969.1,372.86,2200.65,7350.94,1288.5,12798.52,2.6,-2.5,1754,5.7,104.41,13.995,199.1,39.96,41.45,218.93,375.57,1753,1.2082,34066903,5.15,1099.55,121000,121000
119600,121000,1743.85,115000,117500,1562.52,5755,6.92,2193.83,0,1.58,2.51,41.39,1439,4.056,7461.22,3.7,87.83,965.7,379.68,2206.57,7270.89,1330.5,13005.08,4.1,2,1531,6.3,104.41,13.875,205.07,42.5,44.29,220.96,370.11,1613,1.2377,34066903,5.16,1063.88,121000,117000
118600,130000,1731.52,115500,121000,1546.4,9549,6.74,2142.62,5.2,1.88,2.49,43.38,103,4.077,7457.93,4.3,87.81,942.6,398.02,2121.25,7182.08,1355,12894.94,4.6,-8.1,1437,9.2,104.41,12.95,201.47,45.22,46.51,220.58,362.08,1431,1.2941,34066903,5.06,1067.08,117000,114000
117300,121500,1697.91,113500,118000,1541.14,5918,6.6,2169.82,7.6,1.87,2.49,44.05,1504,4.198,7568.42,3.1,88.32,942.5,394.04,2082.85,7062.93,1326,12811.57,4.2,-11.9,105,7.3,104.41,13.085,199,44.76,46.35,221.81,358.65,157,1.2675,34066903,5.06,1054.79,114000,113500
115900,117000,1721.79,112500,116500,1564.55,5267,6.62,2175.47,10.3,1.75,2.49,43.66,1422,4.152,7280.15,4,88.85,940,372.85,2093.45,6763.29,1310.5,12317.46,4.1,-12.9,1443,10.9,109.45,13.05,188.97,40.15,42.21,223,363.21,1442,1.1512,41252209,5.1,1063.03,113500,114000
114100,114000,1636,107000,112000,1620.76,5039,6.48,2207.29,6.2,1.75,2.49,41.24,1535,4.282,7229.72,3.6,88.87,913.6,365.53,2071.43,6726.02,1321,12033.88,4.6,-10.3,2400,6.7,109.45,12.695,191.49,41.65,43.7,229.92,349.71,1800,1.1796,41252209,5.04,1018.81,114000,112000
113700,114000,1634.97,110000,113000,1595.29,2228,6.29,2202.8,0,1.76,2.49,41.93,138,4.34,7290.96,3.9,88.98,906.7,376.82,2198.11,6875.84,1332.5,12331.15,4.7,-1.1,1643,6.4,109.45,12.9,200.27,45.38,46.12,229.56,347.76,1619,1.2145,41252209,5.03,1025.57,112000,115000
113900,115000,1667.63,108000,112000,1572.95,3304,6.28,2211.37,9.1,1.75,2.49,43.98,1629,4.088,7433.49,3.6,89.19,927.8,368.42,2221.08,6594.44,1341,12211.24,4.6,-3.3,1816,6.4,109.45,13.105,197.25,43.61,43.64,227.89,359.9,1811,1.1598,41252209,5.07,1059.26,115000,115000
114200,115000,1652.32,110000,113500,1574.43,3777,6.2,2182.74,0,1.76,2.49,43.04,1304,3.945,7173.1,3.9,88.28,942.7,368.87,2193.01,6626.94,1329,11921.52,4.9,0,2141,7.3,109.45,13.323,195.01,45.52,44.01,225.89,362.16,2236,1.2294,41252209,5.03,1058.18,115000,115000
114600,115500,1663.94,112500,115000,1595.87,2364,6.21,2215.71,7.5,1.71,2.45,43.71,1433,3.865,7086.03,4.1,89.04,918,382.25,2118.75,6547.05,1302,11344.58,5,-7.5,1456,7.7,109.45,12.95,190.47,47.07,44.13,229.2,365.18,1450,1.2154,41252209,5.06,1055.03,115000,116000
115900,118500,1670.15,113000,115000,1563.18,1872,6.11,2133.32,7.7,1.63,2.45,43.12,1409,3.84,7054.98,5,88.28,895.9,384.25,2158.57,6926.49,1315,11694.05,5.3,-1.4,1433,11.5,109.45,12.56,205.84,45.71,43.96,226.42,378.73,1721,1.1987,41252209,4.88,1071.73,116000,118500
